Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Василашко,Амалія,Євгенівна,Жіноча,06.11.2000,Тестувальник,село Миронівка,"набережна Дорбуду, буд. 75, Лохвиця, 07207",+380 (44) 117-57-74,bevzstanislav@example.com
Ірванець,Ганна,Сергіївна,Жіноча,16.05.1976,Системний адміністратор,селище Полтава,"вулиця Закарпатська, буд. 0, Черкаси, 28324",+380 85 194-18-34,qreva@example.com
Єресько,Сніжана,Денисівна,Жіноча,26.09.1968,UI/UX дизайнер,селище Хоростків,"шосе Красний, буд. 577, Глухів, 31185",+380 87 962 53 30,nataliiaazhazha@example.com
Тягнибок,Роман,Віталійович,Чоловіча,21.03.1995,UI/UX дизайнер,село Хирів,"набережна Садова, буд. 39, Городня, 45641",919 96 68,leontii05@example.org
Дашкевич,Панас,Денисович,Чоловіча,03.10.2003,Аналітик,село Синельникове,"проспект Валерія Самофалова, буд. 081 кв. 68, Бурштин, 70199",980 36 02,oleksandr22@example.com
Сиротенко,Теодор,Петрович,Чоловіча,13.04.1951,Системний адміністратор,селище Красилів,"набережна Хаджибейський 2-й, буд. 4, Чистякове, 40634",878 92 75,ievtushokoksana@example.net
Тягнибок,Устим,Павлович,Чоловіча,11.04.1980,Тестувальник,село Конотоп,"набережна Медовий, буд. 877, Зугрес, 49572",841 57 92,sofiiavdovenko@example.org
Макаренко,Камілла,Іванівна,Жіноча,10.03.1950,UI/UX дизайнер,село Сокиряни,"набережна Городня, буд. 3, Жмеринка, 87653",093 528 78 65,qzhaivoron@example.net
Андрієнко,Розалія,Артемівна,Жіноча,20.03.1981,Аналітик,хутір Арциз,"провулок Житомирська, буд. 6 кв. 5, Сміла, 67120",377 42 39,jkyrylenko@example.com
Носенко,Роман,Вікторович,Чоловіча,12.06.1981,UI/UX дизайнер,місто Кам'янка (Черкаська область),"вулиця Стрийський, буд. 55 кв. 36, Сколе, 32264",+380 75 255 53 11,pavlenkoanita@example.org
Ляшко,Антон,Олексійович,Чоловіча,31.12.1983,DevOps інженер,село Белз,"вулиця Банний, буд. 10, Апостолове, 01566",088 385-74-03,vhavriushenko@example.com
Адаменко,Станіслав,Вікторович,Чоловіча,01.09.1994,Аналітик,село Скадовськ,"провулок Болградська, буд. 69 кв. 96, Хрестівка, 71846",+380 (55) 128-31-76,iustyna05@example.net
Джунь,Азар,Михайлович,Чоловіча,03.12.1989,Аналітик,селище Слов'янськ,"провулок Військово-морських сил, буд. 93, Тлумач, 22164",+380 47 980-99-95,vasylynakabaliuk@example.net
Яремків,Ірина,Андріївна,Жіноча,03.04.1967,DevOps інженер,місто Рубіжне,"проспект Академіка Сахарова, буд. 75, Устилуг, 98810",961-53-65,vasylevychartem@example.com
Шаповал,Оксана,Володимирівна,Жіноча,07.07.2009,Тестувальник,селище Жданівка,"проспект Сортувальна 1-ша, буд. 9, Ізмаїл, 66081",+380 29 753 43 17,pvernydub@example.com
Єфименко,Дмитро,Богданович,Чоловіча,04.07.1950,Тестувальник,місто Мелітополь,"вулиця Вапняний 1-й, буд. 69 кв. 234, Костянтинівка, 59806",778-55-21,yskyba@example.org
Шовкопляс,Алла,Богданівна,Жіноча,20.02.2005,Backend розробник,село Глиняни,"узвіз Офіцерський 1-й, буд. 274 кв. 54, Луцьк, 49864",+380 (27) 989-24-64,parmenbabiichuk@example.org
Титаренко,Оксана,Олексіївна,Жіноча,30.04.2009,Backend розробник,селище Шпола,"площа Аеропортівський 6-й, буд. 2, Броди, 86957",529 42 13,kalchenkovasyl@example.org
Абраменко,Анастасія,Сергіївна,Жіноча,12.11.2003,UI/UX дизайнер,селище Фастів,"шосе Юннатів, буд. 37 кв. 0, Копичинці, 54329",065 077 09 28,danyloivasiuk@example.org
Шаповал,Єфрем,Вікторович,Чоловіча,04.11.1970,DevOps інженер,село Старий Самбір,"провулок Інглезі, буд. 751 кв. 565, Теплодар, 15367",+380 95 129-22-70,cfomenko@example.net
Ґалаґан,Гордій,Олегович,Чоловіча,22.05.1970,Системний адміністратор,хутір Луцьк,"шосе Улицька, буд. 84, Прилуки, 98935",+380 18 426 78 86,roksolanatsushko@example.com
Корсун,Алевтин,Богданович,Чоловіча,12.02.2003,Тестувальник,селище Липовець,"площа Нерубайська, буд. 9, Кодима, 81350",+380 32 920-28-99,mkozachenko@example.com
Захарченко,Лариса,Русланівна,Жіноча,22.06.1984,Backend розробник,село Торецьк,"сквер Парусна, буд. 3, Белз, 77073",+380 71 638 40 28,fprytula@example.com
Полтавець,Арсен,Павлович,Чоловіча,20.06.1994,Системний адміністратор,хутір Борислав,"площа Чорноморський 6-й, буд. 923 кв. 3, Вижниця, 39579",989-81-71,viktoriiaonishchuk@example.org
Дубина,Богуслава,Богданівна,Жіноча,25.05.1997,Тестувальник,хутір Новоград-Волинський,"площа Вінницька, буд. 18, Лисичанськ, 16251",+380 (97) 786-69-37,mykytahrechanyk@example.org
Онуфрієнко,Іван,Петрович,Чоловіча,04.05.1987,Системний адміністратор,село Нова Каховка,"сквер Привокзальна, буд. 74, Новодністровськ, 36415",+380 (87) 664-80-70,svitlana04@example.org
Засуха,Лесь,Максимович,Чоловіча,07.06.1972,Backend розробник,місто Мелітополь,"узвіз Кільовий, буд. 188 кв. 19, Турка, 89703",+380 (39) 530-55-07,stepan66@example.com
Дробʼязко,Алевтин,Юрійович,Чоловіча,19.06.1971,Аналітик,хутір Зеленодольськ,"шосе Текстильників, буд. 1 кв. 68, Хуст, 98385",+380 98 454-82-50,cbaran@example.org
Щербань,Аніта,Євгенівна,Жіноча,17.05.1947,Тестувальник,хутір Березівка,"набережна Аптекарський, буд. 8 кв. 728, Берестечко, 74940",092-61-45,olha46@example.com
Чекалюк,Юстим,Степанович,Чоловіча,23.08.1953,Аналітик,хутір Лисичанськ,"площа Миргородський, буд. 140 кв. 98, Турка, 51279",784 96 01,klyment16@example.org
Вишняк,Тимофій,Євгенович,Чоловіча,05.11.1996,Аналітик,село Тисмениця,"провулок Байдарочний, буд. 42 кв. 274, Хотин, 59587",098 690-74-04,wshchors@example.org
Баранник,Петро,Віталійович,Чоловіча,24.05.1952,Backend розробник,хутір Ромни,"вулиця Красива, буд. 3 кв. 3, Семенівка, 86239",031 714 97 68,valeriilevchenko@example.org
Юрчук,Марко,Олексійович,Чоловіча,13.07.1955,Backend розробник,село Білопілля,"вулиця Макова, буд. 1, Бурштин, 67931",654 47 18,orkhyp09@example.com
Гайдабура,Леонтій,Олексійович,Чоловіча,24.11.1954,Системний адміністратор,місто Батурин,"парк Кощового отамана, буд. 955, Новомиргород, 37668",+380 98 975-68-81,irynaonufriienko@example.net
Симоненко,Дмитро,Олексійович,Чоловіча,05.04.1970,Системний адміністратор,село Василівка,"проспект Ризька, буд. 3, Бориспіль, 92701",+380 54 307-01-59,efesenko@example.net
Жайворон,Амвросій,Андрійович,Чоловіча,24.01.1952,Тестувальник,хутір Золоте,"сквер Дача Ковалевського, буд. 501 кв. 680, Борзна, 76311",832-47-16,serhiiprotsenko@example.com
Назаренко,Єфрем,Тарасович,Чоловіча,13.01.1991,UI/UX дизайнер,хутір Олешки,"проспект Юннатів 1-й, буд. 71, Щолкіне, 90435",+380 (38) 079-16-30,moskalvadym@example.org
Баранник,Ганна,Олексіївна,Жіноча,26.02.2007,Тестувальник,село Багачеве,"вулиця Мусіна, буд. 8 кв. 559, Чернігів, 28159",+380 (73) 918-77-93,andriishynalbina@example.com
Гаєвський,Хома,Іванович,Чоловіча,04.08.1948,DevOps інженер,місто Сіверськодонецьк,"сквер Басейна, буд. 325, Слов'янськ, 22326",489 51 43,aaron90@example.org
Жадан,Герман,Русланович,Чоловіча,29.01.2006,Backend розробник,місто Верхньодніпровськ,"шосе Олександрійський, буд. 1, Суми, 74591",+380 (72) 828-75-06,erikamalyshko@example.com
Мазур,Йосип,Богданович,Чоловіча,14.04.2005,Backend розробник,селище Біла Церква,"парк Березовий, буд. 25, Зміїв, 25338",+380 (71) 991-26-09,zakharonyshchenko@example.com
Жученко,Камілла,Володимирівна,Жіноча,28.08.1964,Тестувальник,селище Гірник,"шосе Болгарська, буд. 536, Стебник, 18955",730-79-06,okhrimenkomyron@example.com
Чорновіл,Леон,Олексійович,Чоловіча,25.08.1975,Аналітик,селище Городище,"шосе Отамана Головатого, буд. 18 кв. 244, Добропілля, 99027",097 052 02 00,whohol-ianovska@example.net
Бараник,Орина,Богданівна,Жіноча,13.03.1980,UI/UX дизайнер,селище Переяслав,"провулок Польовий 1-й, буд. 587 кв. 0, Лозова, 45753",366-68-24,liliiavernyhora@example.com
Колесниченко,Михайло,Володимирович,Чоловіча,07.03.1956,DevOps інженер,селище Березань,"набережна Платанова, буд. 0 кв. 35, Лубни, 08373",003 645 33 82,violettaievtushok@example.org
Шовкопляс,Леонід,Сергійович,Чоловіча,11.12.1948,DevOps інженер,хутір Гребінка,"парк Пироговська, буд. 48 кв. 222, Житомир, 27165",577 90 52,emiliia76@example.com
Єрченко,Мирон,Тарасович,Чоловіча,06.12.1957,Системний адміністратор,селище Отаманівка,"набережна Пересипський 2-й, буд. 129 кв. 5, Керч, 46866",078 438 71 65,anzhela28@example.org
Онищенко,Захар,Тарасович,Чоловіча,21.05.1952,Системний адміністратор,місто Чорнобиль,"узвіз Фруктовий, буд. 9 кв. 12, Сорокине, 61575",+380 20 689-16-51,chalaihor@example.com
Юрчишин,Емілія,Олексіївна,Жіноча,17.05.1964,Системний адміністратор,хутір Володимир-Волинський,"парк Аеропортівський 2-й, буд. 194 кв. 0, Старий Крим, 74500",014 961-21-97,pkarpenko@example.org
Габелко,Валентина,Сергіївна,Жіноча,18.02.1957,Аналітик,село Лутугине,"проспект Новоберегова, буд. 8 кв. 18, Берегове, 56176",+380 05 132-61-15,arkadii50@example.net
Василенко,Алла,Сергіївна,Жіноча,16.06.2003,UI/UX дизайнер,місто Євпаторія,"вулиця Лятошинського, буд. 22 кв. 964, Саки, 12224",+380 35 810-89-19,bevzodarka@example.com
Наливайко,Лукʼян,Євгенович,Чоловіча,24.10.1972,Backend розробник,місто Кам'янське,"набережна Восьмого березня 8-й, буд. 09 кв. 729, Болехів, 30741",+380 (01) 974-80-23,ualekseienko@example.com
Лемешко,Борис,Артемович,Чоловіча,27.08.1948,DevOps інженер,хутір Здолбунів,"вулиця Трамвайний, буд. 7, Яремче, 83223",327 56 10,leontiirak@example.com
Михайличенко,Яків,Максимович,Чоловіча,17.07.1955,Backend розробник,хутір Радомишль,"парк Тепличний 1-й, буд. 76 кв. 280, Ізяслав, 01698",+380 44 830 47 65,bohuslavatereshchenko@example.org
Іщак,Розалія,Олегівна,Жіноча,19.07.1953,Тестувальник,місто Сорокине,"площа Черкаська, буд. 9 кв. 958, Белз, 72119",+380 67 534-45-44,xvanchenko@example.com
Охримович,Святослав,Сергійович,Чоловіча,28.07.1973,UI/UX дизайнер,село Волноваха,"проспект Академіка Ясиновського, буд. 1, Миронівка, 72949",+380 16 686-53-98,dankopavlo@example.org
Малишко,Феофан,Вікторович,Чоловіча,26.04.1959,UI/UX дизайнер,селище Бровари,"сквер Сонячна, буд. 2 кв. 32, Новомиргород, 74456",+380 66 949-29-39,mrudyk@example.com
Пушкар,Кирило,Павлович,Чоловіча,21.01.1961,Backend розробник,село Радивилів,"узвіз Халайджогло, буд. 2, Новгород-Сіверський, 27357",617-37-32,bizhak@example.net
Ващук,Данило,Тарасович,Чоловіча,24.07.2009,Тестувальник,селище Чернігів,"парк Десантний, буд. 38 кв. 36, Збараж, 52838",+380 27 607 36 36,shapovalmilena@example.com
Базавлученко,Орест,Віталійович,Чоловіча,14.01.1950,Backend розробник,село Суми,"сквер Барвінковий, буд. 8, Добропілля, 30041",+380 24 067-35-67,bvasylechko@example.net
Калениченко,Альбіна,Віталіївна,Жіноча,19.05.1959,Системний адміністратор,хутір Олександрія,"шосе Дубова, буд. 2, Дрогобич, 96940",+380 89 752-85-25,shelestkhrystyna@example.com
Палій,Марина,Денисівна,Жіноча,14.08.2001,Аналітик,хутір Теребовля,"шосе Стеценко, буд. 057 кв. 1, Гола Пристань, 07024",043 820-24-80,alla18@example.com
Акименко,Алевтин,Володимирович,Чоловіча,04.03.2005,UI/UX дизайнер,хутір Ялта,"провулок Юннатів 1-й, буд. 717 кв. 8, Буринь, 12146",+380 67 177-68-06,venedykt53@example.org
Ярема,Зорян,Володимирович,Чоловіча,22.10.1956,Backend розробник,місто Корсунь-Шевченківський,"набережна Виїзна, буд. 83, Богодухів, 82045",+380 90 222-11-23,ieva13@example.org
Балабан,Надія,Олексіївна,Жіноча,11.04.1972,DevOps інженер,хутір Харків,"вулиця Ватманський, буд. 805, Яготин, 77812",870-20-42,umanetshlib@example.org
Ребрик,Арсен,Русланович,Чоловіча,22.08.1978,Аналітик,селище Монастириська,"набережна Юннатів 2-й, буд. 80 кв. 08, Бібрка, 71187",043 426 01 21,lutsenkoherman@example.org
Ващенко,Петро,Русланович,Чоловіча,01.09.1951,Тестувальник,село Благовіщенське,"набережна Композитора Вербицького, буд. 325 кв. 106, Сорокине, 22589",+380 (24) 571-43-19,ibandera@example.net
Гузій,Єлисавета,Петрівна,Жіноча,20.07.1999,Системний адміністратор,селище Березань,"провулок Лазурний 3-й, буд. 563 кв. 774, Горішні Плавні, 95877",+380 (89) 787-94-02,zlatoslavashukhevych@example.org
Пушкар,Вадим,Олегович,Чоловіча,09.02.1976,DevOps інженер,хутір Ірпінь,"набережна Бернардацці, буд. 4 кв. 6, Перечин, 39410",645 34 67,rvanchenko@example.net
Онуфрієнко,Анжела,Юріївна,Жіноча,20.08.1973,Backend розробник,село Горохів,"вулиця Скляний 3-й, буд. 7, Баранівка, 52132",+380 52 379-62-61,mykhailo64@example.net
Козак,Богдан,Іванович,Чоловіча,06.04.2002,Системний адміністратор,хутір Конотоп,"узвіз Іванівський переїзд, буд. 343, Нова Одеса, 92451",770-77-30,iiashchenko@example.com
Башполченко,Тереза,Євгенівна,Жіноча,20.03.1967,Backend розробник,селище Південне,"набережна Наявний 3-й, буд. 385, Радехів, 96611",+380 87 731-90-16,dierchenko@example.com
Забіла,Ірена,Іванівна,Жіноча,30.05.1951,DevOps інженер,хутір Славутич,"сквер Зоопаркова, буд. 0 кв. 51, Донецьк, 14915",422-88-50,oleksa43@example.com
Сомко,Франц,Сергійович,Чоловіча,01.11.1972,Тестувальник,місто Бердичів,"набережна Окружна, буд. 91 кв. 84, Ізюм, 31564",+380 24 533-52-89,petrykzakhar@example.net
Литвин,Зорян,Артемович,Чоловіча,05.03.1946,Backend розробник,селище Дебальцеве,"парк Сосюри, буд. 846 кв. 39, Федорівка, 76193",942 19 62,thres@example.org
Лавренко,Михайлина,Максимівна,Жіноча,03.01.1954,Тестувальник,хутір Кодима,"набережна Скляна, буд. 89 кв. 6, Федорівка, 66373",+380 (39) 229-03-32,fmykytiuk@example.org
Ляшко,Святослава,Вікторівна,Жіноча,25.05.2008,Backend розробник,село Селидове,"проспект Карпенка-Карого, буд. 95, Мена, 42060",+380 29 407-80-82,zasenkoostap@example.com
Забіла,Ігор,Євгенович,Чоловіча,06.12.1977,DevOps інженер,село Тетіїв,"сквер Валерія Лобановського, буд. 03 кв. 671, Волочиськ, 66125",650 27 74,sviatoslaviermolenko@example.net
Масляк,Дмитро,Євгенович,Чоловіча,11.05.1948,Системний адміністратор,селище Тлумач,"узвіз Станційна 1-ша, буд. 6, Чугуїв, 96790",+380 27 135 94 61,malykpetro@example.com
Гаврилишина,Емілія,Юріївна,Жіноча,01.02.2011,UI/UX дизайнер,місто Чугуїв,"парк Маловського, буд. 694, Перещепине, 40582",776-38-42,kyrylo22@example.net
Сімашкевич,Георгій,Олегович,Чоловіча,01.05.1991,Системний адміністратор,село Міусинськ,"узвіз Скліфосовського, буд. 690 кв. 23, Старобільськ, 53559",+380 (93) 777-17-28,eieresko@example.org
Дейнеко,Болеслав,Богданович,Чоловіча,30.12.2007,DevOps інженер,місто Канів,"узвіз Світанку, буд. 4, Вашківці, 54582",+380 01 724-57-48,azardrobiazko@example.net
Тягнибок,Марта,Богданівна,Жіноча,17.01.1956,DevOps інженер,село Кагарлик,"вулиця Нафтовиків 1-й, буд. 817, Городенка, 10432",000 093 11 24,gparasiuk@example.org
Цюпа,Єлисей,Сергійович,Чоловіча,18.05.1977,UI/UX дизайнер,місто Рожище,"вулиця Софії Перовської, буд. 6 кв. 4, Кропивницький, 71584",+380 74 030 41 87,zhaivoronnazar@example.net
Філіпенко,Тарас,Максимович,Чоловіча,11.08.2002,Системний адміністратор,хутір Хотин,"парк Кордонна, буд. 943, Олевськ, 32722",+380 85 144-28-24,chmilvolodymyr@example.org
Василашко,Орися,Петрівна,Жіноча,10.08.1973,Backend розробник,хутір Коростень,"сквер Софіївська, буд. 331, Рогатин, 19954",+380 (66) 311-41-14,boleslav75@example.com
Ніколюк,Нестор,Михайлович,Чоловіча,04.02.1971,Backend розробник,село Олександрія,"сквер Промисловий, буд. 5, Нова Одеса, 19388",+380 71 954-38-55,lubenetsarkadii@example.net
Даценко,Олесь,Віталійович,Чоловіча,14.01.1974,Тестувальник,селище Кодима,"парк Цебриківська, буд. 56, Ніжин, 89281",090 909 17 68,zinchukmykyta@example.net
Давиденко,Болеслав,Русланович,Чоловіча,21.06.1952,Backend розробник,село Херсон,"вулиця Лінія 31-ша, буд. 68, Козятин, 34155",+380 08 203-75-26,fonufriienko@example.org
Іваненко,Лариса,Олексіївна,Жіноча,04.08.1955,DevOps інженер,село Дружківка,"площа Проектований 4-й, буд. 942 кв. 73, Чернігів, 31101",048 910 42 02,jdrobiazko@example.org
Симоненко,Григорій,Юрійович,Чоловіча,28.06.2004,DevOps інженер,селище Гребінка,"узвіз Остапа Вишні, буд. 5 кв. 026, Костянтинівка, 20144",+380 56 302-85-68,valentyn14@example.net
Бебешко,Семен,Степанович,Чоловіча,23.01.1953,UI/UX дизайнер,місто Мерефа,"площа Хаджибейський 1-й, буд. 636 кв. 9, Покровськ, 51793",+380 20 981 21 41,nvernydub@example.net
Артимишин,Вʼячеслав,Юрійович,Чоловіча,12.01.1973,Backend розробник,село Таврійськ,"шосе Шкільний, буд. 59 кв. 028, Могилів-Подільський, 71533",048 296 35 97,novcharenko@example.com
Жайворон,Сергій,Тарасович,Чоловіча,27.01.1948,Системний адміністратор,місто Полтава,"вулиця Проїзний 3-й, буд. 60, Гуляйполе, 45129",+380 74 146 82 12,zlatoslava58@example.net
Засенко,Вʼячеслав,Вікторович,Чоловіча,20.01.2001,Backend розробник,хутір Олександрівськ,"вулиця Гранатна, буд. 763 кв. 694, Тлумач, 23485",+380 38 294-36-78,lizamedvedenko@example.com
Христенко,Віолетта,Андріївна,Жіноча,12.12.1946,Тестувальник,хутір Сарни,"площа Восьмого березня 3-й, буд. 07 кв. 5, Татарбунари, 65423",+380 85 223-32-29,avhustynkovaliuk@example.org
Адаменко,Петро,Сергійович,Чоловіча,02.06.2009,Аналітик,село Борислав,"провулок Заводська 2-га, буд. 8, Бахмут, 56823",+380 54 515-92-68,arkadii02@example.com
Базилевич,Макар,Михайлович,Чоловіча,26.06.1947,Системний адміністратор,село Вовчанськ,"шосе Лінія 24-та, буд. 214, Черкаси, 83184",+380 93 273 73 47,terezaivanchenko@example.com
Гузь,Йосип,Павлович,Чоловіча,05.07.1958,Тестувальник,місто Заставна,"сквер Казковий, буд. 8 кв. 12, Керч, 90419",+380 04 349-26-70,oonufriienko@example.org
Деряжна,Марʼяна,Степанівна,Жіноча,03.07.2006,Системний адміністратор,місто Перечин,"проспект Рульовий, буд. 46 кв. 687, Маріуполь, 68335",046 471 54 99,venedykt28@example.com
Цюцюра,Валентина,Максимівна,Жіноча,11.12.1978,Тестувальник,селище Кипуче,"площа Магістральна, буд. 90, Калинівка, 29433",+380 (21) 477-34-49,ohunko@example.net
Голобородько,Стефан,Іванович,Чоловіча,23.11.1980,Аналітик,село Дубно,"набережна Лиманчик 2-й Лінія 11-та, буд. 700, Ізяслав, 76614",+380 (68) 406-70-39,bohodar12@example.com
Шморгун,Віталій,Володимирович,Чоловіча,22.05.1960,UI/UX дизайнер,місто Середина-Буда,"площа Студентський 2-й, буд. 573, Кам'янка-Бузька, 40972",073 322 25 53,andriienkopanteleimon@example.com
Ґжицький,Костянтин,Артемович,Чоловіча,06.06.2005,Аналітик,селище Сколе,"узвіз Флотський 2-й, буд. 774 кв. 60, Прилуки, 70828",869-64-76,arsen68@example.com
Полтавець,Аніта,Євгенівна,Жіноча,04.05.1988,DevOps інженер,хутір Андрушівка,"узвіз Лінія 54-та, буд. 79 кв. 9, Остер, 39281",+380 87 265-73-86,pylyp07@example.org
Данилюк,Аркадій,Євгенович,Чоловіча,23.12.1979,Аналітик,село Суми,"проспект Василя Кандинського 1-й, буд. 4 кв. 5, Сарни, 75168",+380 27 749-37-81,zhuravelopanas@example.org
Радченко,Олександр,Артемович,Чоловіча,14.11.1995,UI/UX дизайнер,селище Сокаль,"сквер Карантинний узвіз, буд. 7 кв. 25, Турка, 80901",+380 72 132-93-91,khorishkookhrim@example.org
Штокало,Георгій,Степанович,Чоловіча,14.11.2003,Backend розробник,місто Кривий Ріг,"площа Новий, буд. 6, Дубровиця, 80964",+380 35 558-70-58,serhii99@example.com
Єрмоленко,Маруся,Євгенівна,Жіноча,16.04.2009,DevOps інженер,село Олександрівськ,"набережна 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 017, Святогірськ, 91651",+380 47 356 83 68,zasukhaolena@example.org
Дубенко,Вікторія,Тарасівна,Жіноча,18.09.1965,Тестувальник,село Торецьк,"шосе Естонський, буд. 13 кв. 849, Зеленодольськ, 77120",+380 37 310-59-87,zorian70@example.com
Шаповал,Прохір,Олексійович,Чоловіча,16.01.1961,Системний адміністратор,місто Іловайськ,"набережна Миколи Троїцького, буд. 4, Долина, 43779",822 57 38,talankostiantyn@example.org
Сімашкевич,Ілля,Андрійович,Чоловіча,20.06.1980,Аналітик,місто Обухів,"площа Десятого квітня, буд. 05 кв. 36, Антрацит, 38233",+380 25 579-05-78,panasteslia@example.org
Вахній,Дарина,Русланівна,Жіноча,17.12.2010,DevOps інженер,село Бердянськ,"вулиця Картамишевський, буд. 156 кв. 558, Миколаївка, 41247",029 194-72-78,btsiupa@example.net
Макаренко,Миколай,Михайлович,Чоловіча,24.04.1973,Системний адміністратор,село Покровськ,"вулиця Європейська, буд. 78 кв. 66, Нова Каховка, 94907",+380 (69) 662-67-40,larysa85@example.org
Лазаренко,Людмила,Сергіївна,Жіноча,14.01.1976,Backend розробник,село Лебедин,"площа Сергія Уточкіна, буд. 47, Луганськ, 62713",096-94-44,parmentytarenko@example.net
Вакуленко,Леонід,Богданович,Чоловіча,26.04.1964,Системний адміністратор,селище Буринь,"площа Котляревського, буд. 8, Болехів, 91788",812 90 56,bartym@example.net
Дубас,Тереза,Павлівна,Жіноча,22.03.2001,Системний адміністратор,хутір Лубни,"сквер Басейний 6-й, буд. 9, Любомль, 09483",+380 (86) 436-52-35,ezhadan@example.com
Радченко,Ольга,Юріївна,Жіноча,20.08.2011,Тестувальник,селище Радомишль,"сквер Траса Здоров'я, буд. 70, Бахмут, 53178",+380 74 054-51-13,wlupii@example.net
Чарниш,Остап,Олексійович,Чоловіча,21.04.1974,UI/UX дизайнер,місто Білицьке,"вулиця Шкодова гора, буд. 647, Городня, 70908",028 420-86-27,ivan93@example.com
Зарудна,Розалія,Олексіївна,Жіноча,16.01.1975,Backend розробник,місто Баштанка,"провулок Сімферопольська, буд. 57 кв. 9, Турка, 90656",122-50-85,parmen71@example.net
Рябченко,Ігор,Володимирович,Чоловіча,30.06.1986,Тестувальник,хутір Сіверськ,"вулиця Успенський, буд. 904 кв. 2, Яготин, 92295",071 07 23,viktoriiasimashkevych@example.com
Худяк,Аніта,Богданівна,Жіноча,20.12.1999,Backend розробник,селище Донецьк,"проспект Мирослава Скорика, буд. 09, Підгородне, 40455",+380 51 252 03 66,iaremalemeshko@example.net
Токар,Олена,Юріївна,Жіноча,18.06.1978,Тестувальник,місто Підгайці,"узвіз Шухевича Романа, буд. 700 кв. 366, Золоте, 36324",+380 02 999 55 43,deisunielysaveta@example.com
